ballnumber,inningno,over,outcome,batter,bowler,comment
1,2,0.1,0,Ruturaj Gaikwad,Sandeep Sharma,"Sandeep Sharma to Ruturaj Gaikwad, no run,"
2,2,0.2,0,Ruturaj Gaikwad,Sandeep Sharma,"Sandeep Sharma to Ruturaj Gaikwad, no run,"
3,2,0.3,0,Ruturaj Gaikwad,Sandeep Sharma,"Sandeep Sharma to Ruturaj Gaikwad, no run,"
4,2,0.4,2,Ruturaj Gaikwad,Sandeep Sharma,"Sandeep Sharma to Ruturaj Gaikwad, 2 runs,"
5,2,0.5,4,Ruturaj Gaikwad,Sandeep Sharma,"Sandeep Sharma to Ruturaj Gaikwad, Four,"
6,2,0.6,1,Ruturaj Gaikwad,Sandeep Sharma,"Sandeep Sharma to Ruturaj Gaikwad, 1 run,"
7,2,1.1,1,Ruturaj Gaikwad,Kuldeep Sen,"Kuldeep Sen to Ruturaj Gaikwad, 1 run,"
8,2,1.2,1,Devon Conway,Kuldeep Sen,"Kuldeep Sen to Devon Conway, 1 run,"
9,2,1.3,1lb,Ruturaj Gaikwad,Kuldeep Sen,"Kuldeep Sen to Ruturaj Gaikwad, 1 leg bye,"
10,2,1.4,0,Devon Conway,Kuldeep Sen,"Kuldeep Sen to Devon Conway, no run,"
11,2,1.5,0,Devon Conway,Kuldeep Sen,"Kuldeep Sen to Devon Conway, no run,"
12,2,1.6,0,Devon Conway,Kuldeep Sen,"Kuldeep Sen to Devon Conway, no run,"
13,2,2.1,0,Ruturaj Gaikwad,Sandeep Sharma,"Sandeep Sharma to Ruturaj Gaikwad, no run,"
14,2,2.2,w,Ruturaj Gaikwad,Sandeep Sharma,"Sandeep Sharma to Ruturaj Gaikwad, no run,                           Wicket - c Yashasvi Jaiswal b Sandeep Sharma batsmen out 8(10)"
15,2,2.3,3,Ajinkya Rahane,Sandeep Sharma,"Sandeep Sharma to Ajinkya Rahane, 3 runs,"
16,2,2.4,1,Devon Conway,Sandeep Sharma,"Sandeep Sharma to Devon Conway, 1 run,"
17,2,2.5,1,Ajinkya Rahane,Sandeep Sharma,"Sandeep Sharma to Ajinkya Rahane, 1 run,"
18,2,2.6,1,Devon Conway,Sandeep Sharma,"Sandeep Sharma to Devon Conway, 1 run,"
19,2,3.1,0,Devon Conway,Jason Holder,"Jason Holder to Devon Conway, no run,"
20,2,3.2,0,Devon Conway,Jason Holder,"Jason Holder to Devon Conway, no run,"
21,2,3.3,1,Devon Conway,Jason Holder,"Jason Holder to Devon Conway, 1 run,"
22,2,3.4,4,Ajinkya Rahane,Jason Holder,"Jason Holder to Ajinkya Rahane, Four,"
23,2,3.5,1,Ajinkya Rahane,Jason Holder,"Jason Holder to Ajinkya Rahane, 1 run,"
24,2,3.6,4,Devon Conway,Jason Holder,"Jason Holder to Devon Conway, Four,"
25,2,4.1,0,Ajinkya Rahane,Adam Zampa,"Adam Zampa to Ajinkya Rahane, no run,"
26,2,4.2,0,Ajinkya Rahane,Adam Zampa,"Adam Zampa to Ajinkya Rahane, no run,"
27,2,4.3,1,Ajinkya Rahane,Adam Zampa,"Adam Zampa to Ajinkya Rahane, 1 run,"
28,2,4.4,4,Devon Conway,Adam Zampa,"Adam Zampa to Devon Conway, Four,"
29,2,4.5,0,Devon Conway,Adam Zampa,"Adam Zampa to Devon Conway, no run,"
30,2,4.6,4,Devon Conway,Adam Zampa,"Adam Zampa to Devon Conway, Four,"
31,2,5.1,2,Ajinkya Rahane,Ravichandran Ashwin,"Ravichandran Ashwin to Ajinkya Rahane, 2 runs,"
32,2,5.2,0,Ajinkya Rahane,Ravichandran Ashwin,"Ravichandran Ashwin to Ajinkya Rahane, no run,"
33,2,5.3,6,Ajinkya Rahane,Ravichandran Ashwin,"Ravichandran Ashwin to Ajinkya Rahane, Six,"
34,2,5.4,1,Ajinkya Rahane,Ravichandran Ashwin,"Ravichandran Ashwin to Ajinkya Rahane, 1 run,"
35,2,5.5,0,Devon Conway,Ravichandran Ashwin,"Ravichandran Ashwin to Devon Conway, no run,"
36,2,5.6,1,Devon Conway,Ravichandran Ashwin,"Ravichandran Ashwin to Devon Conway, 1 run,"
37,2,6.1,0,Devon Conway,Yuzvendra Chahal,"Yuzvendra Chahal to Devon Conway, no run,"
38,2,6.2,0,Devon Conway,Yuzvendra Chahal,"Yuzvendra Chahal to Devon Conway, no run,"
